здесь	zʲ dʲ e sʲ
линейку	ʎ ɪ ɲ e j k ʊ
линии	ʎ i ɲ ɪ ɪ
линию	ʎ i ɲ ɪ j ʊ
линия	ʎ i ɲ ɪ j ə
линялые	ʎ ɪ ɲ a ɫ ɨ j e
линий	ʎ i ɲ ɪ j
линять	ʎ ɪ ɲ æ tʲ
лион	ʎ ɪ o n̪
лионском	ʎ ɪ o n̪ s̪ k ə m
липкий	ʎ i p c ɪ j
липиади	ʎ i pʲ ɪ ə dʲ ɪ
липиади	ʎ ɪ pʲ i ə dʲ ɪ
липкое	ʎ i p k ə j ə
липовые	ʎ i p ə v ɨ j e
липкую	ʎ i p k ʊ j ʊ
липовый	ʎ i p ə v ɨ j
липовая	ʎ i p ə v ə j ə
липой	ʎ i p ə j
липу	ʎ i p ʊ
липы	ʎ i p ɨ
лирика	ʎ i rʲ ɪ k ə
лис	ʎ i s̪
лис	ʎ ɪ s̪
лиса	ʎ i s̪ ə
лисенят	ʎ i sʲ ɪ ɲ a t̪
лисенят	ʎ ɪ sʲ ɪ ɲ a t̪
лисицы	ʎ ɪ sʲ i t̪s̪ ɨ
лист	ʎ i s̪ t̪
лиссе	ʎ i sʲː e
лиссе	ʎ ɪ s̪ː ɛ
листа	ʎ ɪ s̪ t̪ a
листами	ʎ ɪ s̪ t̪ a mʲ ɪ
листал	ʎ ɪ s̪ t̪ a ɫ
листву	ʎ ɪ s̪ t̪ v u
листву	ʎ ɪ s̪ t̪ v ʊ
листвы	ʎ ɪ s̪ t̪ v ɨ
листик	ʎ i sʲ tʲ ɪ k
листе	ʎ i sʲ tʲ e
листики	ʎ i sʲ tʲ ɪ c ɪ
листов	ʎ ɪ s̪ t̪ o f
листки	ʎ ɪ s̪ t̪ c i
листки	ʎ ɪ s̪ t̪ c ɪ
листовки	ʎ ɪ s̪ t̪ o f c ɪ
листовкой	ʎ ɪ s̪ t̪ o f k ə j
листовок	ʎ ɪ s̪ t̪ o v ə k
листовку	ʎ ɪ s̪ t̪ o f k ʊ
листок	ʎ i s̪ t̪ ə k
листок	ʎ ɪ s̪ t̪ o k
листригоны	ʎ ɪ s̪ t̪ rʲ ɪ ɡ ə n̪ ɨ
листригонов	ʎ ɪ s̪ t̪ rʲ ɪ ɡ ə n̪ ə f
листом	ʎ ɪ s̪ t̪ o m
листы	ʎ i s̪ t̪ ɨ
листы	ʎ ɪ s̪ t̪ ɨ
листу	ʎ i s̪ t̪ ʊ
листу	ʎ ɪ s̪ t̪ u
листьями	ʎ i sʲ tʲ j ə mʲ ɪ
листья	ʎ i sʲ tʲ j ə
литавры	ʎ ɪ t̪ a v r ɨ
литейном	ʎ ɪ tʲ e j n̪ ə m
листьев	ʎ i sʲ tʲ j ɪ f
литейной	ʎ ɪ tʲ e j n̪ ə j
литейный	ʎ ɪ tʲ e j n̪ ɨ j
литераторов	ʎ ɪ tʲ ɪ r a t̪ ə r ə f
литератор	ʎ ɪ tʲ ɪ r a t̪ ə r
литература	ʎ ɪ tʲ ɪ r ɐ t̪ u r ə
литературе	ʎ ɪ tʲ ɪ r ɐ t̪ u rʲ e
лить	ʎ i tʲ
лить	ʎ ɪ tʲ
литературы	ʎ ɪ tʲ ɪ r ɐ t̪ u r ɨ
литературы	ʎ ɪ tʲ ɪ r ə t̪ ʊ r ɨ
литературой	ʎ ɪ tʲ ɪ r ɐ t̪ u r ə j
лифа	ʎ i f ə
лифляндия	ʎ i f ʎ æ ɲ dʲ ɪ j ə
литься	ʎ i t̪ s̪ː ə
литься	ʎ ɪ t̪ s̪ ə
лифы	ʎ i f ɨ
лихо	ʎ ɪ x o
лихом	ʎ i x ə m
лихом	ʎ ɪ x o m
лихорадило	ʎ ɪ x ɐ r a dʲ ɪ ɫ ə
лихорадка	ʎ ɪ x ɐ r a t̪ k ə
лихорадке	ʎ ɪ x ɐ r a t̪ c e
лихорадки	ʎ ɪ x ɐ r a t̪ c ɪ
лихорадку	ʎ ɪ x ɐ r a t̪ k ʊ
лихорадочно	ʎ ɪ x ɐ r a d̪ ə tɕ n̪ ə
лихорадочное	ʎ ɪ x ɐ r a d̪ ə tɕ n̪ ə j ə
лихорадочной	ʎ ɪ x ɐ r a d̪ ə tɕ n̪ ə j
лихорадочность	ʎ ɪ x ɐ r a d̪ ə tɕ n̪ ə sʲ tʲ
лихорадочным	ʎ ɪ x ɐ r a d̪ ə tɕ n̪ ɨ m
лиц	ʎ i t̪s̪
лиц	ʎ ɪ t̪s̪
лихорадочных	ʎ ɪ x ɐ r a d̪ ə tɕ n̪ ɨ x
лица	ʎ i t̪s̪ ə
лица	ʎ ɪ t̪s̪ ə
лицами	ʎ i t̪s̪ ə mʲ ɪ
лицами	ʎ ɪ t̪s̪ ə mʲ ɪ
лицах	ʎ i t̪s̪ ə x
лицам	ʎ i t̪s̪ ə m
лице	ʎ ɪ t̪s̪ ɛ
лице	ʎ ɪ t̪s̪ ɨ
лицеистами	ʎ ɪ t̪s̪ ɨ i s̪ t̪ ə mʲ ɪ
лицемер	ʎ ɪ t̪s̪ ɨ mʲ e r
лицемерной	ʎ ɪ t̪s̪ ɨ mʲ e r n̪ ə j
лицом	ʎ ɪ t̪s̪ o m
лицо	ʎ ɪ t̪s̪ o
лицу	ʎ i t̪s̪ ʊ
лицу	ʎ ɪ t̪s̪ u
лицу	ʎ ɪ t̪s̪ ʊ
личика	ʎ i tɕ ɪ k ə
личиком	ʎ i tɕ ɪ k ə m
личиною	ʎ ɪ tɕ i n̪ ə j ʊ
личиной	ʎ ɪ tɕ i n̪ ə j
лично	ʎ i tɕ n̪ ə
личного	ʎ i tɕ n̪ ə v ə
личная	ʎ i tɕ n̪ ə j ə
личной	ʎ i tɕ n̪ ə j
личное	ʎ i tɕ n̪ ə j ə
личном	ʎ i tɕ n̪ ə m
личностей	ʎ i tɕ n̪ ə sʲ tʲ ɪ j
личному	ʎ i tɕ n̪ ə m ʊ
личность	ʎ i tɕ n̪ ə sʲ tʲ
личности	ʎ i tɕ n̪ ə sʲ tʲ ɪ
личные	ʎ i tɕ n̪ ɨ j e
личных	ʎ i tɕ n̪ ɨ x
личный	ʎ i tɕ n̪ ɨ j
лишает	ʎ ɪ ʂ a j ɪ t̪
лишайного	ʎ ɪ ʂ a j n̪ ə v ə
лишается	ʎ ɪ ʂ a j ɪ t̪ s̪ ə
лишали	ʎ ɪ ʂ a ʎ ɪ
лишен	ʎ ɪ ʂ ɨ n̪
лишало	ʎ ɪ ʂ a ɫ ə
лишений	ʎ ɪ ʂ ɛ ɲ ɪ j
лишения	ʎ ɪ ʂ ɛ ɲ ɪ j ə
лишенное	ʎ ɪ ʂ ɛ n̪ː ə j ə
лишенное	ʎ ɪ ʂ ɨ n̪ː ə j ə
лишенная	ʎ ɪ ʂ ɛ n̪ː ə j ə
лишенная	ʎ ɪ ʂ ɨ n̪ː ə j ə
лишенною	ʎ ɪ ʂ ɛ n̪ ə j ʊ
лишенною	ʎ ɪ ʂ ɛ n̪ː ə j ʊ
лишенной	ʎ ɪ ʂ ɛ n̪ ə j
лишенные	ʎ ɪ ʂ ɛ n̪ː ɨ j e
лишенные	ʎ ɪ ʂ ɨ n̪ː ɨ j e
лишенных	ʎ ɪ ʂ ɛ n̪ː ɨ x
лишенных	ʎ ɪ ʂ ɨ n̪ː ɨ x
лишено	ʎ ɪ ʂ ɨ n̪ o
лишено	ʎ ɪ ʂ ɨ n̪ ə
лишил	ʎ ɪ ʂ ɨ ɫ
лиши	ʎ ɪ ʂ ɨ
лишился	ʎ ɪ ʂ ɨ ɫ sʲ ə
лишитесь	ʎ ɪ ʂ ɨ tʲ ɪ sʲ
лишишься	ʎ ɪ ʂ ɨ ʂ sʲ ə
лишком	ʎ i ʂ k ə m
лишком	ʎ ɪ ʂ k o m
лишком	ʎ ɪ ʂ k ə m
лишить	ʎ ɪ ʂ ɨ tʲ
лишнего	ʎ i ʂ ɲ ɪ v ə
лишней	ʎ i ʂ ɲ ɪ j
лишнее	ʎ i ʂ ɲ ɪ j e
лишние	ʎ i ʂ ɲ ɪ j e
лишний	ʎ i ʂ ɲ ɪ j
лишним	ʎ i ʂ ɲ ɪ m
лишних	ʎ i ʂ ɲ ɪ x
лишь	ʎ i ʂ
лишь	ʎ ɪ ʂ
лишнюю	ʎ i ʂ ɲ ʉ j ʊ
лоб	ɫ o p
ллойд	ɫː o j t̪
ллойд	ɫː ə j t̪
лишняя	ʎ i ʂ ɲ ɪ j ə
лобто	ɫ o p t̪ o
лобто	ɫ ɐ p t̪ o
лобто	ɫ ɐ p t̪ ə
лобто	ɫ ɐ t̪ ə
лобто	ɫ ɐ t̪ː ə
лобан	ɫ ɐ b a n̪
лобане	ɫ ɐ b a ɲ e
лобана	ɫ ɐ b a n̪ ə
лови	ɫ ɐ vʲ i
лобное	ɫ o b n̪ ə j ə
ловила	ɫ ɐ vʲ i ɫ ə
ловил	ɫ ɐ vʲ i ɫ
ловили	ɫ ɐ vʲ i ʎ ɪ
ловит	ɫ o vʲ ɪ t̪
ловите	ɫ o vʲ ɪ tʲ e
ловите	ɫ ɐ vʲ i tʲ e
ловить	ɫ ɐ vʲ i tʲ
ловится	ɫ o vʲ ɪ t̪ s̪ ə
ловишь	ɫ o vʲ ɪ ʂ
ловкий	ɫ o f c ɪ j
ловкие	ɫ ɐ f c i j e
ловкие	ɫ ɐ f c ɪ j e
ловким	ɫ o f c ɪ m
ловкими	ɫ o f c ɪ mʲ ɪ
ловкими	ɫ ɐ f c i mʲ ɪ
ловкими	ɫ ɐ f c ɪ mʲ ɪ
ловких	ɫ o f c ɪ x
ловких	ɫ ɐ f c i x
ловких	ɫ ɐ f c ɪ x
ловко	ɫ o f k ə
ловкость	ɫ o f k ə sʲ tʲ
ловкости	ɫ o f k ə sʲ tʲ ɪ
ловкого	ɫ o f k ə v ə
ловкого	ɫ ɐ f k o v ə
ловкого	ɫ ɐ f k ə v ə
ловле	ɫ o v ʎ e
ловкостью	ɫ o f k ə sʲ tʲ j ʊ
ловлю	ɫ o v ʎ ʊ
ловлю	ɫ ɐ v ʎ u
ловля	ɫ o v ʎ ə
ловли	ɫ o v ʎ ɪ
ловок	ɫ o v ə k
ловушка	ɫ ɐ v u ʂ k ə
ловушках	ɫ ɐ v u ʂ k ə x
ловушку	ɫ ɐ v u ʂ k ʊ
ловца	ɫ ɐ f t̪s̪ a
ловчего	ɫ o f tɕ ɪ v ə
ловчее	ɫ o f tɕ ɪ j e
ловчий	ɫ o f tɕ ɪ j
ловя	ɫ o vʲ ə
ловя	ɫ ɐ vʲ a
ловчему	ɫ o f tɕ ɪ m ʊ
ловят	ɫ o vʲ ə t̪
логика	ɫ o ɟ ɪ k ə
логики	ɫ o ɟ ɪ c ɪ
логикой	ɫ o ɟ ɪ k ə j
лодка	ɫ o t̪ k ə
логиныч	ɫ ɐ ɟ i n̪ ɨ tɕ
лодках	ɫ o t̪ k ə x
лодкой	ɫ o t̪ k ə j
лодки	ɫ o t̪ c ɪ
лодку	ɫ o t̪ k ʊ
лодке	ɫ o t̪ c e
лодок	ɫ o d̪ ə k
лодочник	ɫ o d̪ ə tɕ ɲ ɪ k
лодочнику	ɫ o d̪ ə tɕ ɲ ɪ k ʊ
лодочника	ɫ o d̪ ə tɕ ɲ ɪ k ə
лодочный	ɫ o d̪ ə tɕ n̪ ɨ j
лодырей	ɫ o d̪ ɨ rʲ e j
лодырей	ɫ o d̪ ɨ rʲ ɪ j
лодыжку	ɫ ɐ d̪ ɨ ʂ k u
лодыжку	ɫ ɐ d̪ ɨ ʂ k ʊ
лож	ɫ o ʂ
лож	ɫ ɐ ʂ
лодырям	ɫ o d̪ ɨ rʲ a m
лодырям	ɫ o d̪ ɨ rʲ ə m
ложа	ɫ o ʐ ə
ложа	ɫ ɐ ʐ a
ложами	ɫ o ʐ ə mʲ ɪ
ложами	ɫ ɐ ʐ a mʲ ɪ
ложась	ɫ o ʐ ə sʲ
ложась	ɫ ɐ ʐ a sʲ
ложатся	ɫ o ʐ ə t̪ s̪ ə
ложе	ɫ o ʐ ɨ
ложек	ɫ o ʐ ɨ k
ложем	ɫ o ʐ ɨ m
ложечка	ɫ o ʐ ɨ tɕ k ə
ложечки	ɫ o ʐ ɨ tɕ c ɪ
ложечкой	ɫ o ʐ ɨ tɕ k ə j
ложечку	ɫ o ʐ ɨ tɕ k ʊ
ложи	ɫ ɐ ʐ ɨ
ложились	ɫ ɐ ʐ ɨ ʎ ɪ sʲ
ложилась	ɫ ɐ ʐ ɨ ɫ ə sʲ
ложись	ɫ ɐ ʐ ɨ sʲ
ложилось	ɫ ɐ ʐ ɨ ɫ ə sʲ
ложился	ɫ ɐ ʐ ɨ ɫ sʲ ə
ложитесь	ɫ o ʐ ɨ tʲ ɪ sʲ
ложитесь	ɫ ɐ ʐ ɨ tʲ ɪ sʲ
ложиться	ɫ ɐ ʐ ɨ t̪ s̪ː ə
ложится	ɫ o ʐ ɨ t̪ s̪ ə
ложится	ɫ ɐ ʐ ɨ t̪ s̪ː ə
ложками	ɫ o ʂ k ə mʲ ɪ
ложками	ɫ ɐ ʂ k a mʲ ɪ
ложки	ɫ o ʂ c ɪ
ложки	ɫ ɐ ʂ c i
ложная	ɫ o ʐ n̪ ə j ə
ложного	ɫ o ʐ n̪ ə v ə
ложное	ɫ o ʐ n̪ ə j ə
ложной	ɫ o ʐ n̪ o j
ложные	ɫ o ʐ n̪ ɨ j e
ложный	ɫ o ʐ n̪ ɨ j
ложу	ɫ o ʐ ʊ
ложу	ɫ ɐ ʐ u
ложных	ɫ o ʐ n̪ ɨ x
ложусь	ɫ ɐ ʐ u sʲ
ложь	ɫ o ʂ
лозами	ɫ o z̪ ə mʲ ɪ
лоз	ɫ o s̪
лозунг	ɫ o z̪ ʊ n̪ k
лозунги	ɫ o z̪ ʊ n̪ ɟ ɪ
лозунгами	ɫ o z̪ ʊ n̪ ɡ ə mʲ ɪ
лозунгом	ɫ o z̪ ʊ n̪ ɡ ə m
лозунгов	ɫ o z̪ ʊ n̪ ɡ ə f
лозы	ɫ o z̪ ɨ
лозы	ɫ ɐ z̪ ɨ
локоть	ɫ o k ə tʲ
локоны	ɫ o k ə n̪ ɨ
локотниками	ɫ ɐ k o tʲ ɲ ɪ k a mʲ ɪ
локотниками	ɫ ɐ k o tʲ ɲ ɪ k ə mʲ ɪ
локтей	ɫ ɐ c tʲ e j
локтем	ɫ o c tʲ ɪ m
локти	ɫ o c tʲ ɪ
локте	ɫ o c tʲ e
локте	ɫ ɐ c tʲ e
локтями	ɫ ɐ c tʲ æ mʲ ɪ
локтя	ɫ o c tʲ ə
локтямито	ɫ ɐ c tʲ æ mʲ i t̪ ə
локтямито	ɫ ɐ c tʲ æ mʲ ɪ t̪ o
локтямито	ɫ ɐ c tʲ æ mʲ ɪ t̪ ə
локтях	ɫ ɐ c tʲ a x
ломает	ɫ ɐ m a j ɪ t̪
ломаешь	ɫ ɐ m a j ɪ ʂ
ломается	ɫ ɐ m a j ɪ t̪ s̪ ə
ломаешьто	ɫ ɐ m a j ɪ ʂ t̪ o
ломаешьто	ɫ ɐ m a j ɪ ʂ t̪ ə
ломайте	ɫ ɐ m a j tʲ e
ломал	ɫ ɐ m a ɫ
ломаном	ɫ o m ə n̪ ə m
ломаном	ɫ ɐ m a n̪ ə m
ломалась	ɫ ɐ m a ɫ ə sʲ
ломанья	ɫ ɐ m a ɲ j ə
ломать	ɫ ɐ m a tʲ
ломают	ɫ ɐ m a j ʊ t̪
ломаю	ɫ ɐ m a j ʊ
ломаются	ɫ ɐ m a j ʊ t̪ s̪ ə
ломающиеся	ɫ ɐ m a j ʉ ɕː ɪ j ɪ sʲ ə
ломающегося	ɫ ɐ m a j ʉ ɕː ɪ v ə sʲ ə
ломбард	ɫ ɐ m b a r t̪
ломбардом	ɫ ɐ m b a r d̪ ə m
ломберный	ɫ o mʲ bʲ ɪ r n̪ ɨ j
ломберными	ɫ o mʲ bʲ ɪ r n̪ ɨ mʲ ɪ
ломило	ɫ ɐ mʲ i ɫ ə
ломки	ɫ o m c ɪ
ломка	ɫ o m k ə
ломка	ɫ ɐ m k a
ломит	ɫ o mʲ ɪ t̪
ломит	ɫ ɐ mʲ i t̪
ломкую	ɫ o m k ʊ j ʊ
ломовики	ɫ o m ə vʲ ɪ c i
ломом	ɫ o m ə m
ломоть	ɫ o m ə tʲ
ломоть	ɫ ɐ m o tʲ
ломовому	ɫ ə m ɐ v o m ʊ
ломят	ɫ o mʲ ə t̪
ломтем	ɫ o m tʲ ɪ m
лондон	ɫ o n̪ d̪ ə n̪
лона	ɫ o n̪ ə
ломтю	ɫ o m tʲ ʊ
ломтю	ɫ ɐ m tʲ u
ломтю	ɫ ɐ m tʲ ʊ
лондона	ɫ o n̪ d̪ ə n̪ ə
лондоне	ɫ o n̪ d̪ ə ɲ e
лондонской	ɫ o n̪ d̪ ə n̪ s̪ k o j
лоно	ɫ o n̪ ə
лопалось	ɫ o p ə ɫ ə sʲ
лопатой	ɫ ɐ p a t̪ ə j
лопатках	ɫ ɐ p a t̪ k ə x
лопнет	ɫ o p ɲ ɪ t̪
лопну	ɫ o p n̪ ʊ
лопнул	ɫ o p n̪ ʊ ɫ
лопотали	ɫ ə p ɐ t̪ a ʎ ɪ
лопуха	ɫ ə p ʊ x a
лопухи	ɫ ə p ʊ ç i
лопухи	ɫ ə p ʊ ç ɪ
лорды	ɫ o r d̪ ɨ
лордов	ɫ o r d̪ ə f
лорнет	ɫ ɐ r n̪ ɛ t̪
лорнет	ɫ ɐ r ɲ e t̪
лоск	ɫ o s̪ k
лорнетку	ɫ ɐ r ɲ e t̪ k ʊ
лорнировала	ɫ ɐ r ɲ i r ə v ə ɫ ə
лоскутное	ɫ o s̪ k ʊ t̪ n̪ ə j ə
лоскутное	ɫ ə s̪ k ʊ t̪ n̪ ə j ə
лоскуток	ɫ ə s̪ k ʊ t̪ o k
лоснилась	ɫ ɐ sʲ ɲ i ɫ ə sʲ
лоснятся	ɫ ɐ sʲ ɲ a t̪ s̪ː ə
лоснится	ɫ ɐ sʲ ɲ i t̪ s̪ː ə
лососина	ɫ ɐ s̪ o sʲ ɪ n̪ ə
лоснящиеся	ɫ ɐ sʲ ɲ æ ɕː ɪ j ɪ sʲ ə
лотки	ɫ ɐ t̪ c i
лотерею	ɫ ə t̪ ɨ rʲ e j ʊ
лососиной	ɫ ɐ s̪ o sʲ ɪ n̪ ə j
лотоса	ɫ o t̪ ə s̪ ə
лохматые	ɫ ɐ x m a t̪ ɨ j e
лохматый	ɫ ɐ x m a t̪ ɨ j
лохмотьев	ɫ ɐ x m o tʲ j ɪ f
лохмотья	ɫ ɐ x m o tʲ j a
лохмотья	ɫ ɐ x m o tʲ j ə
лохмотьях	ɫ ɐ x m o tʲ j ɪ x
лохмотьями	ɫ ɐ x m o tʲ j ɪ mʲ ɪ
лоцман	ɫ o t̪s̪ m ə n̪
лошадей	ɫ ə ʂ ɐ dʲ e j
лошадей	ɫ ə ʂ ɨ dʲ e j
лошадей	ɫ ə ʂ ɨ dʲ ɪ j
лоцмана	ɫ o t̪s̪ m ə n̪ ə
лошаденка	ɫ ə ʂ ɨ dʲ e n̪ k ə
лошади	ɫ o ʂ ə dʲ ɪ
лошади	ɫ ə ʂ ɨ dʲ i
лошади	ɫ ə ʂ ɨ dʲ ɪ
лошадиною	ɫ ə ʂ ɨ dʲ i n̪ ə j ʊ
лошадиной	ɫ ə ʂ ɨ dʲ i n̪ ə j
лошадиное	ɫ ə ʂ ɨ dʲ i n̪ ə j ə
лошадиное	ɫ ə ʂ ɨ dʲ i n̪ː ə j ə
лошадка	ɫ ɐ ʂ a t̪ k ə
лошадиный	ɫ ə ʂ ɨ dʲ i n̪ ɨ j
лошадку	ɫ ɐ ʂ a t̪ k ʊ
лошадок	ɫ ɐ ʂ a d̪ ə k
лошадь	ɫ o ʂ ə tʲ
лошадьми	ɫ ə ʂ ɐ dʲ mʲ i
лошадьми	ɫ ə ʂ ɨ dʲ mʲ i
лошадям	ɫ ə ʂ ɐ dʲ a m
лошадям	ɫ ə ʂ ɨ dʲ a m
лошадью	ɫ o ʂ ə dʲ j ʊ
лошадью	ɫ ə ʂ ɨ dʲ j ʊ
лощеных	ɫ ɐ ɕː e n̪ ɨ x
лощеных	ɫ ɐ ɕː e n̪ː ɨ x
луг	ɫ u k
лошадях	ɫ ə ʂ ɐ dʲ a x
лошадях	ɫ ə ʂ ɨ dʲ a x
лугов	ɫ u ɡ ə f
лугов	ɫ ʊ ɡ o f
луга	ɫ u ɡ ə
луга	ɫ ʊ ɡ a
лугах	ɫ ʊ ɡ a x
лугу	ɫ u ɡ ʊ
лугу	ɫ ʊ ɡ u
лугу	ɫ ʊ ɡ ʊ
лужах	ɫ u ʐ ə x
лужи	ɫ u ʐ ɨ
лужи	ɫ ʊ ʐ ɨ
лужайки	ɫ ʊ ʐ a j c ɪ
лука	ɫ u k ə
лука	ɫ ʊ k a
лужу	ɫ u ʐ ʊ
лужу	ɫ ʊ ʐ u
лук	ɫ u k
лукав	ɫ ʊ k a f
лукавая	ɫ ʊ k a v a j ə
лукавить	ɫ ʊ k a vʲ ɪ tʲ
лукавит	ɫ ʊ k a vʲ ɪ t̪
лукавлю	ɫ ʊ k a v ʎ ʊ
лукавого	ɫ ʊ k a v ə v ə
лукаво	ɫ ʊ k a v ə
лукавое	ɫ ʊ k a v ə j ə
лукавосерьезную	ɫ ʊ k a v ə sʲ ɪ rʲ j e z̪ n̪ ʊ j ʊ
лукавства	ɫ ʊ k a f s̪ t̪ v ə
лукавство	ɫ ʊ k a f s̪ t̪ v ə
лукавой	ɫ ʊ k a v ə j
лукавством	ɫ ʊ k a f s̪ t̪ v ə m
лукавые	ɫ ʊ k a v ɨ j e
лукавый	ɫ ʊ k a v ɨ j
лукавым	ɫ ʊ k a v ɨ m
лукавых	ɫ ʊ k a v ɨ x
лукавыми	ɫ ʊ k a v ɨ mʲ ɪ
луки	ɫ u c ɪ
луки	ɫ ʊ c i
лукича	ɫ ʊ c ɪ tɕ a
лукича	ɫ ʊ c ɪ tɕ ə
лукичу	ɫ ʊ c ɪ tɕ ʊ
лукич	ɫ ʊ c ɪ tɕ
луком	ɫ u k ə m
луком	ɫ ʊ k o m
лукошко	ɫ ʊ k o ʂ k ə
лунато	ɫ ʊ n̪ a t̪ o
лунато	ɫ ʊ n̪ a t̪ ə
лунато	ɫ ʊ n̪ ɐ t̪ o
луку	ɫ u k ʊ
луку	ɫ ʊ k u
луна	ɫ u n̪ ə
луна	ɫ ʊ n̪ a
лунатизм	ɫ ʊ n̪ a tʲ i z̪ m
лунатизм	ɫ ʊ n̪ ɐ tʲ i z̪ m
лунатика	ɫ ʊ n̪ a tʲ ɪ k ə
лунатикам	ɫ ʊ n̪ a tʲ ɪ k ə m
лунному	ɫ u n̪ː ə m ʊ
луне	ɫ ʊ ɲ e
лунном	ɫ u n̪ː ə m
лунные	ɫ u n̪ː ɨ j e
лунный	ɫ u n̪ː ɨ j
луной	ɫ u n̪ ə j
луной	ɫ ʊ n̪ o j
лунным	ɫ u n̪ː ɨ m
луною	ɫ u n̪ ə j ʊ
луною	ɫ ʊ n̪ o j ʊ
лунукокетку	ɫ u n̪ ʊ k ɐ c e t̪ k ʊ
лунукокетку	ɫ ʊ n̪ ʊ k ɐ c e t̪ k ʊ
луну	ɫ u n̪ ʊ
луну	ɫ ʊ n̪ u
луны	ɫ u n̪ ɨ
луны	ɫ ʊ n̪ ɨ
лупа	ɫ u p ə
лупил	ɫ ʊ pʲ i ɫ
лупить	ɫ ʊ pʲ i tʲ
лупят	ɫ u pʲ ə t̪
луч	ɫ u tɕ
лучам	ɫ ʊ tɕ a m
луча	ɫ ʊ tɕ a
лучами	ɫ ʊ tɕ æ mʲ ɪ
лучах	ɫ ʊ tɕ a x
лучезарной	ɫ ʊ tɕ ɪ z̪ a r n̪ ə j
лучи	ɫ ʊ tɕ i
лучей	ɫ ʊ tɕ e j
лучей	ɫ ʊ tɕ ɪ j
лучину	ɫ ʊ tɕ i n̪ ʊ
лучины	ɫ ʊ tɕ i n̪ ɨ
лучинам	ɫ ʊ tɕ i n̪ ə m
лучистыми	ɫ ʊ tɕ i s̪ t̪ ɨ mʲ ɪ
лучом	ɫ ʊ tɕ ɵ m
лучше	ɫ u tʂː ɨ
лучшая	ɫ u tʂː a j ə
лучшее	ɫ u tʂː ɨ j e
лучшего	ɫ u tʂː ɨ v ə
лучшей	ɫ u tʂː ɨ j
лучшем	ɫ u tʂː ɨ m
лучшие	ɫ u tʂː ɨ j e
лучший	ɫ u tʂː ɨ j
лучших	ɫ u tʂː ɨ x
лучшим	ɫ u tʂː ɨ m
лучшему	ɫ u tʂː ɨ m ʊ
лучшую	ɫ u tʂː ʊ j u
лысая	ɫ ɨ s̪ a j ə
лысина	ɫ ɨ sʲ ɪ n̪ ə
лысиной	ɫ ɨ sʲ ɪ n̪ ə j
лысине	ɫ ɨ sʲ ɪ ɲ e
лысину	ɫ ɨ sʲ ɪ n̪ ʊ
лысого	ɫ ɨ s̪ o v ə
лысого	ɫ ɨ s̪ ə v ə
лысым	ɫ ɨ s̪ ɨ m
лысый	ɫ ɨ s̪ ɨ j
ль	ʎ
льва	ʎ v a
льва	ʎ v ə
львиные	ʎ vʲ i n̪ ɨ j e
львиная	ʎ vʲ i n̪ ə j ə
львицей	ʎ vʲ i t̪s̪ ɨ j
львов	ʎ v o f
львовича	ʎ v o vʲ ɪ tɕ ə
львович	ʎ v o vʲ ɪ tɕ
львовичем	ʎ v o vʲ ɪ tɕ ɪ m
львовичу	ʎ v o vʲ ɪ tɕ ʊ
львовне	ʎ v o v ɲ e
львовну	ʎ v o v n̪ ʊ
львовна	ʎ v o v n̪ ə
льву	ʎ v ʊ
львы	ʎ v ɨ
львовны	ʎ v o v n̪ ɨ
льдом	ʎ d̪ o m
льдом	ʎ d̪ ə m
льду	ʎ d̪ u
льду	ʎ d̪ ʊ
льется	ʎ j ɪ t̪ s̪ ə
лье	ʎ j e
льет	ʎ j ɪ t̪
льна	ʎ n̪ a
льна	ʎ n̪ ə
льилюстрацион	ʎ j i ʎ ʊ s̪ t̪ r a t̪s̪ ɨ o n̪
льилюстрацион	ʎ j ɪ ʎ ʊ s̪ t̪ r a t̪s̪ ɨ o n̪
льилюстрацион	ʎ j ʎ ʊ s̪ t̪ r a t̪s̪ ɨ o n̪
льилюстрацион	ʎ ʎ ʊ s̪ t̪ r a t̪s̪ ɨ o n̪
льнопрядильный	ʎ n̪ o p rʲ ɪ dʲ i ʎ n̪ ɨ j
льняными	ʎ ɲ ɪ n̪ ɨ mʲ ɪ
льстецом	ʎ sʲ tʲ ɪ t̪s̪ o m
льняного	ʎ ɲ ɪ n̪ o v ə
льстиво	ʎ sʲ tʲ i v ə
льстивый	ʎ sʲ tʲ i v ɨ j
льстивой	ʎ sʲ tʲ i v ə j
льют	ʎ j u t̪
льются	ʎ j u t̪ s̪ː ə
льстило	ʎ sʲ tʲ i ɫ ə
лю	ʎ u
лю	ʎ ʊ
люба	ʎ u b ə
любая	ʎ ʊ b a j ə
любви	ʎ ʉ bʲ vʲ i
любви	ʎ ʊ b vʲ i
любезная	ʎ ʉ bʲ e z̪ n̪ ə j ə
любезничать	ʎ ʉ bʲ e zʲ ɲ ɪ tɕ ɪ tʲ
любезна	ʎ ʉ bʲ e z̪ n̪ ə
любезничал	ʎ ʉ bʲ e zʲ ɲ ɪ tɕ ɪ ɫ
любезного	ʎ ʉ bʲ e z̪ n̪ ə v ə
любезно	ʎ ʉ bʲ e z̪ n̪ ə
любезности	ʎ ʉ bʲ e z̪ n̪ ə sʲ tʲ ɪ
любезной	ʎ ʉ bʲ e z̪ n̪ ə j
